full_state_name,State,median_income_2018,pop,pop_21,debt,debt_per_pop21,retail_rev_share_tax,internet_rev_share_tax,state_run_sportsbook,state_of_play,reporting_data_url,alt_reporting_data_url
New Hampshire,NH,81346,1359711,1045381,7500000000,7174.417748,0.46,0.46,0,"retail and internet, single state sponsored operator (Draftkings), no wagering on an in-state NCAA team",https://www.nhlottery.com/About-Us/Financial-Reports,
New Jersey,NJ,74176,8882190,6620377,62400000000,9425.445107,0.09,0.14,0,"retail and internet, competitive mrkt, no wagering on an in-state NCAA team or NCAA games played in state",,
New Mexico,NM,48283,2096829,1536368,7500000000,4881.64294,,,,,,
New York,NY,67274,19453561,14674437,1.58E+11,10746.57924,0.10,0.10,0,"retail only, 4 casino licenses, unrestricted wagering",https://www.gaming.ny.gov/gaming/index.php?ID=1,
North Carolina,NC,53369,10488084,7730808,14600000000,1888.547743,,,,,,
North Dakota,ND,66505,762062,553228,3900000000,7049.534731,,,,,,
Ohio,OH,61633,11689100,8627797,25300000000,2932.382391,,,,,,
Oklahoma,OK,54434,3956971,2831196,10700000000,3779.321531,,,,,,
Oregon,OR,69165,4217737,3200622,18000000000,5623.906853,0.30,0.30,1,"retail and internet, single state branded operator, no NCAA wagering ",https://www.oregonlottery.org/assets/wp-content/uploads/2021/01/December-2020-YTD-Scoreboard-Gaming-Activity.pdf,
Pennsylvania,PA,64524,12801989,9660388,49900000000,5165.423997,0.36,0.36,0,"retail and internet, competitive mrkt, unrestricted wagering",,
Rhode Island,RI,62266,1059361,800805,9700000000,12112.81148,0.51,0.51,1,"retail and internet, single state branded operator, unrestricted wagering",https://www.rilot.com/en-us/financials.html#SportsBookRevenueModalContent,
South Carolina,SC,57444,5148714,3813659,11600000000,3041.698275,,,,,,
South Dakota,SD,59463,884659,635739,3200000000,5033.51218,,,,,,
Tennessee,TN,56060,6829174,5043319,7300000000,1447.4595,0.20,0.20,,"internet only, no in-play NCAA wagers",https://tnlottery.com/lottery-reports-sports-betting-taxes-handle-for-november-2020/,
Texas,TX,59785,28995881,20340329,57700000000,2836.728944,,,,,,
Utah,UT,77067,3205958,2127694,6300000000,2960.952092,,,,,,
Vermont,VT,70066,623989,478059,3400000000,7112.092859,,,,,,
Virginia,VA,77151,8535519,6320168,29200000000,4620.130351,,,,,,
Washington,WA,79726,7614893,5675664,39000000000,6871.442707,,,,,,
West Virginia,WV,50573,1792147,1365932,12200000000,8931.630564,0.10,0.10,0,"retail and internet, competitive mrkt, unrestricted wagering",,
Wisconsin,WI,62629,5822434,4317545,22800000000,5280.778776,,,,,,
Wyoming,WY,62539,578759,418893,1000000000,2387.244475,,,,,,
